,Source,Target,Weight,Timestamp
0,5,4,2,1289241941.53378
1,0,11,1,1289243140.39049
2,3,2,7,1289245277.36975
3,10,12,8,1289254254.44746
4,10,9,8,1289254300.79514
5,6,4,1,1289362700.47913
6,1,16,5,1289370556.80938
7,1,15,5,1289370622.21473
8,16,1,5,1289380981.52787
9,16,0,8,1289441411.46365
10,16,9,8,1289441438.4426
11,16,7,9,1289441450.59006
12,16,2,7,1289441525.7383099
13,13,2,5,1289442313.0371099
14,13,17,1,1289489668.48486
15,9,0,8,1289555656.32898
16,9,5,7,1289555731.2221699
17,9,16,8,1289555745.64663
18,9,7,1,1289555767.7095
19,9,18,10,1289555841.66508
20,9,1,7,1289555871.04233
21,9,2,7,1289555875.7095802
22,3,19,1,1289641693.99029
23,19,3,1,1289641703.57785
24,4,0,3,1289660298.87048
25,4,5,3,1289660319.00982
26,4,6,1,1289660347.43795
27,0,4,4,1289710643.19963
28,5,3,2,1289770700.4293
29,3,5,5,1289770756.50297
30,1,3,5,1289771303.53929
31,13,20,1,1289836081.5209901
32,13,10,2,1289873367.89538
33,10,13,2,1289873611.94452
34,10,21,2,1290088212.27332
35,21,10,2,1290090118.30882
36,13,15,2,1290108486.6886802
37,3,22,1,1290197549.13082
38,22,3,2,1290197554.48422
39,23,5,1,1290300441.66925
40,10,0,8,1290520563.53596
41,6,25,1,1290644457.56157
42,25,6,1,1290644477.4021301
43,23,0,1,1290666928.4216301
44,0,23,1,1290666953.43175
45,0,25,1,1290750434.01249
46,25,0,1,1290752776.47886
47,25,10,1,1290758643.30207
48,10,25,1,1290761556.7369
49,5,6,5,1290826367.1721098
50,6,5,3,1290826591.42034
51,0,13,9,1290969236.78019
52,0,22,2,1291052764.71454
53,22,0,3,1291055972.91439
54,26,5,2,1291056174.72596
55,0,10,3,1291090930.69481
56,27,28,1,1291157823.29216
57,28,27,1,1291159845.12556
58,26,0,1,1291159911.11891
59,13,0,9,1291217882.28299
60,7,0,3,1291315232.33698
61,6,21,2,1291376109.62385
62,0,15,2,1291505266.30993
63,28,31,1,1291515528.23159
64,31,28,1,1291515697.49227
65,29,32,1,1291578872.19781
66,29,6,3,1291590274.45619
67,29,31,1,1291591178.2595901
68,31,29,1,1291591211.84395
69,17,13,1,1291623781.1277199
70,17,14,1,1291623787.90955
71,27,33,1,1291684579.71178
72,33,27,1,1291684612.11599
73,34,0,2,1291740270.9472802
74,10,6,1,1291757016.29721
75,6,10,1,1291757031.50303
76,21,35,1,1292070534.03952
77,35,21,1,1292071378.89261
78,21,36,1,1292085236.6998599
79,36,21,1,1292085280.0736
80,32,29,2,1292099160.9751
81,32,37,2,1292189306.47485
82,37,32,2,1292189412.5311
83,32,38,2,1292193828.31273
84,38,32,2,1292195062.40986
85,0,38,1,1292196392.21474
86,38,0,1,1292196407.13906
87,6,2,6,1292200462.1576
88,27,30,2,1292206237.08404
89,30,27,2,1292206272.45044
90,27,16,2,1292297572.7643301
91,16,27,2,1292297608.09604
92,6,27,3,1292361185.86524
93,27,6,4,1292361298.90511
94,6,37,4,1292442401.75654
95,37,6,4,1292442432.7118402
96,6,39,1,1292447857.2063198
97,39,6,1,1292490376.2363698
98,21,6,2,1292716197.4261901
99,3,41,5,1292795818.34165
100,29,16,2,1292819158.2383401
101,16,29,2,1292819328.7332199
102,3,43,2,1292823618.44624
103,43,3,3,1292823672.32603
104,43,15,8,1292823684.25402
105,43,1,2,1292823727.667
106,26,46,1,1292920838.8724802
107,46,26,2,1292935948.10307
108,40,0,2,1292957157.4040802
109,0,40,2,1292957195.7147
110,3,47,2,1293050723.00352
111,47,3,2,1293054742.65514
112,16,6,5,1293191604.74618
113,6,15,4,1293409870.9621801
114,26,49,1,1293448472.81444
115,26,50,1,1293448479.2438
116,29,49,2,1293453341.91475
117,49,29,2,1293453456.20721
118,49,26,2,1293453463.2234
119,0,51,1,1293481238.1530302
120,51,0,8,1293481551.9652698
121,6,20,2,1293481688.78585
122,20,6,1,1293482234.62328
123,3,52,4,1293523499.48644
124,0,53,1,1293579274.0100698
125,53,0,1,1293579280.83393
126,30,54,1,1293583961.4875
127,48,45,1,1293603105.36008
128,55,6,1,1293604543.59049
129,6,55,1,1293604590.1113
130,6,14,5,1293632316.6935802
131,23,17,1,1293643257.6064901
132,17,23,1,1293646340.181
133,17,15,1,1293661055.82282
134,43,56,4,1293665840.7407
135,0,57,1,1293749573.8343198
136,57,0,1,1293749669.2168698
137,42,30,1,1293819840.4094698
138,30,42,1,1293820339.69123
139,57,42,1,1293831460.95955
140,42,57,1,1293831479.76095
141,41,3,2,1293843254.06475
142,17,49,1,1293888120.91641
143,49,17,1,1293888137.47196
144,45,48,1,1293930357.98644
145,26,58,1,1293994479.85825
146,58,26,1,1293996991.46985
147,30,3,1,1294081163.014
148,3,30,1,1294081177.89816
149,0,48,2,1294083688.36895
150,48,0,2,1294083725.97495
151,49,20,3,1294126590.415
152,20,49,3,1294152392.91925
153,45,59,1,1294190542.60702
154,13,60,1,1294192094.04763
155,60,13,1,1294192614.67232
156,49,44,1,1294244410.4263
157,44,49,1,1294249080.61302
158,30,61,1,1294262869.27706
159,30,75,1,1294267264.6407099
160,61,30,1,1294267277.04065
161,30,62,1,1294271217.57214
162,62,30,1,1294274023.32141
163,75,30,1,1294285068.74772
164,3,63,1,1294300030.22996
165,63,3,1,1294300186.31404
166,60,49,2,1294395970.3296
167,49,60,2,1294396076.49534
168,30,65,1,1294426072.9756901
169,65,30,1,1294429629.84466
170,42,63,1,1294429932.3273199
171,63,42,1,1294429999.7841198
172,6,65,2,1294438542.46541
173,65,6,2,1294439193.8408198
174,45,67,1,1294546375.2423902
175,30,50,1,1294595719.20179
176,67,45,1,1294599138.54006
177,50,68,1,1294600321.90078
178,68,50,3,1294600354.23511
179,50,30,1,1294600355.2483099
180,50,26,1,1294600362.03195
181,29,13,3,1294689381.25255
182,13,29,1,1294689438.3949099
183,50,69,1,1294788721.90836
184,69,50,3,1294854693.16331
185,11,70,2,1294919858.69515
186,70,11,2,1294927076.83628
187,49,71,4,1294947596.86945
188,71,49,1,1294953308.35973
189,64,6,3,1294974057.9804401
190,0,60,1,1294982042.23521
191,50,11,1,1294996843.91845
192,11,50,1,1295011593.7939599
193,60,0,1,1295060559.46632
194,0,73,1,1295163873.99206
195,44,38,2,1295213497.49792
196,38,44,2,1295213513.50181
197,73,0,1,1295219864.74438
198,72,73,1,1295223074.80015
199,73,74,1,1295223955.11582
200,59,18,2,1295282631.45186
201,72,42,2,1295394666.14979
202,29,3,1,1295416559.00524
203,3,29,1,1295416571.5088801
204,30,76,1,1295460035.8808699
205,52,3,4,1295507765.1317198
206,69,77,1,1295538196.77426
207,77,69,1,1295560693.0790699
208,60,78,2,1295620829.44948
209,78,60,3,1295622238.77534
210,42,79,1,1295647515.55323
211,79,42,1,1295647536.52286
212,70,48,1,1295720115.4261599
213,48,70,1,1295720324.5994802
214,69,78,2,1295806593.8970199
215,6,80,1,1295847189.68733
216,80,6,1,1295847197.8708198
217,30,81,1,1295990232.96892
218,30,48,1,1295995414.74313
219,48,30,1,1295995480.1449802
220,78,69,2,1296071385.99524
221,17,6,5,1296076062.4997401
222,6,82,1,1296085723.47309
223,82,6,1,1296085847.7828698
224,45,83,2,1296096741.77722
225,83,45,2,1296096768.6165302
226,83,56,1,1296163310.87274
227,83,86,2,1296163344.67709
228,83,42,4,1296163403.15362
229,42,83,4,1296164244.66224
230,80,29,1,1296229412.30641
231,29,80,1,1296229420.53809
232,5,85,2,1296291457.0187
233,85,29,1,1296291483.02942
234,5,23,1,1296291723.90977
235,29,85,1,1296291878.9186301
236,34,6,1,1296512060.00051
237,0,88,1,1296512102.9696
238,88,0,10,1296513384.09698
239,72,0,3,1296513427.30484
240,72,6,4,1296528583.06603
241,6,72,2,1296528668.83435
242,6,34,1,1296528718.47876
243,6,90,1,1296553673.1786098
244,90,6,1,1296553681.6305099
245,17,79,1,1296579082.7374802
246,79,17,1,1296579092.82596
247,79,75,1,1296580101.4228
248,75,79,1,1296580127.9867802
249,42,40,2,1296595302.6214302
250,86,56,3,1296601381.26798
251,88,92,10,1296608630.85714
252,88,18,1,1296609273.32248
253,0,1,8,1296629343.6207302
254,0,55,2,1296631215.11468
255,55,0,2,1296631324.44843
256,0,17,6,1296657671.10019
257,38,93,1,1296682612.8485699
258,87,6,2,1296688733.3641698
259,6,87,2,1296688773.26321
260,38,10,2,1296690713.9312
261,10,38,2,1296690764.78868
262,56,29,3,1296754197.20889
263,56,11,1,1296754335.65361
264,56,5,3,1296754391.49849
265,56,0,3,1296754396.24231
266,56,17,1,1296754414.29012
267,56,20,3,1296754435.61868
268,56,86,3,1296754444.14572
269,56,83,1,1296754511.90955
270,56,94,1,1296754599.04721
271,56,43,3,1296754644.6621
272,93,38,1,1296758779.86266
273,38,1,2,1296769471.34734
274,1,38,2,1296769494.33436
